name,description,dimensions,year,image,category,collection,photo,youtube
Dessin,,,,pieces/dessins/3.jpg,Statics,Drawing,,
Dessin,,,,pieces/dessins/B.jpg,Statics,Drawing,,
Dessin,,,,pieces/dessins/D.jpg,Statics,Drawing,,
Dessin,,,1973,pieces/dessins/Dessin1973.jpg,Statics,Drawing,,
Dessin,,,1976,pieces/dessins/Dessin1976.jpg,Statics,Drawing,,
Dessin,,,1971,pieces/dessins/Dessin1971.jpg,Statics,Drawing,,
Dessin,,,1972,pieces/dessins/Dessincollage1972.jpg,Statics,Drawing,,
Dessin,,,1974,pieces/dessins/Dessins-1974.jpg,Statics,Drawing,,
Dessin Ordinateur,,,1973,pieces/dessins/DessinOrdinateur.jpg,Statics,Drawing,,
Dessin,,,,pieces/dessins/E.jpg,Statics,Drawing,,
Dessin,,,,pieces/dessins/F.jpg,Statics,Drawing,,
Gravure sur Verre,,,2005,pieces/dessins/gravureVerre.jpg,Statics,Drawing,,
Signes,,,1976,pieces/dessins/Signes.jpg,Statics,Drawing,,
Dessin,,,,pieces/dessins/Relief.jpg,Statics,Drawing,,
Signes Gouache,,,2005,pieces/dessins/SignesGouache.jpg,Statics,Drawing,,
Expansion,"Collection du Musee d'Art Contemporain de Montreal, Canada",,1969,pieces/sculptures/expansion.jpg,Statics,Sculptur,,
Jello,,135 x 75 x 75 cm,1970,pieces/sculptures/Jello.jpg,Statics,Sculptur,,
Piece Murale,,205 x 85 x 7 cm,1976,pieces/sculptures/PieceMurale.jpg,Statics,Sculptur,,
Relief Mural,,170 x 120 x 7 cm,1976,pieces/sculptures/ReliefMural.jpg,Statics,Sculptur,,
20 pieces Murales,"Collection du Musee d'Art Contemporain de Montreal, Canada",150 x 200 x 7 cm,1976,pieces/sculptures/20piecesMural.jpg,Statics,Sculptur,,
Cube de Boy Acier,,190 x 190 x 190 cm,2006,pieces/sculptures/CubeAcier.jpg,Statics,Sculptur,,
Installation 7 pieces aluminium,,10 x 15 x 155 cm,1978,pieces/sculptures/Installation7.jpg,Statics,Sculptur,,
Installation 16 pieces aluminium,,125 x 125 x 10 cm,1978,pieces/sculptures/installation16.jpg,Statics,Sculptur,,
Equivalence 64 pouces cubes,,59 x 41 x 41,1998,pieces/sculptures/equivalence.jpg,Statics,Sculptur,,
Sculpture monumentale Acier,,350 x 220 x 70 cm,2003,pieces/sculptures/sculptureMonumentale2.jpg,Statics,Sculptur,,
Sculpture monumentale Aluminium,,225 x 225 x 300 cm,2003,pieces/sculptures/sculptureMonumentale.jpg,Statics,Sculptur,,
Michele neons,Collection de l'artiste,220 x 145 x 145,1969,pieces/neons/michele.jpg,Statics,Sculptur,,
Lumiere bleue,Collection de l'artiste,200 x 115 x 1500 cm,1970,pieces/neons/LumiereBleue.jpg,Statics,Sculptur,,
11 Neons,Collection de l'artiste,195 x 1500 x 105 cm,1970,pieces/neons/11neons.jpg,Statics,Sculptur,,
2 lignes de neons blanc,Collection de l'artiste,200 x 200 x 45 cm,1975,pieces/neons/2LignesNeonBlanc.jpg,Statics,Sculptur,,
Cube de Boy rouge,Collection de l'artiste,,,pieces/neons/BC-2-100.jpg,Statics,Sculptur,,
Cube de Boy jaune vert bleu,Collection de l'artiste,,,pieces/neons/BC-3-100.jpg,Statics,Sculptur,,
Cube de Boy blanc,Collection de l'artiste - photo de Jp Loubat,195 x 92 x 92 cm,2006,pieces/neons/BoysCube.jpg,Statics,Sculptur,,
VBC,Collection de l'artiste,,,pieces/neons/VB-2-100.jpg,Statics,Sculptur,,
Variation Albers 1,,,,pieces/neons/VariationAlbers1.jpg,Statics,Sculptur,,
Variation Albers 2,,,,pieces/neons/VariationAlbers2.jpg,Statics,Sculptur,,
Variation Albers 3,,,,pieces/neons/VariationAlbers3.jpg,Statics,Sculptur,,
Variation Albers 4,,,,pieces/neons/VariationAlbers4.jpg,Statics,Sculptur,,
Variation bleue 1,,,,pieces/neons/5.jpg,Statics,Sculptur,,
Variation bleue 2,,,,pieces/neons/6.jpg,Statics,Sculptur,,
Variation bleue 3,,,,pieces/neons/7.jpg,Statics,Sculptur,,
Variation bleue 4,,,,pieces/neons/8.jpg,Statics,Sculptur,,
Ciel cotonneux - Perou,,,2005,pieces/photos/ciel-et-mer/ciel-cotoneux-2005--Perou.jpg,Statics,Photo,,
Ciel,,,,pieces/photos/ciel-et-mer/DSC_0398--copy.jpg,Statics,Photo,,
Mer - Ile de Paques,,,2005,pieces/photos/ciel-et-mer/Mer-2005--Ile-de-Paques.jpg,Statics,Photo,,
Reflet,,,,pieces/photos/ciel-et-mer/Reflet.jpg,Statics,Photo,,
Rides - Chili,,,2005,pieces/photos/ciel-et-mer/Rides-2005--Chili.jpg,Statics,Photo,,
Vagues - Chili,,,2005,pieces/photos/ciel-et-mer/vagues--2005--Chili.jpg,Statics,Photo,,
Arbre - Ile de Paques,,,2005,pieces/photos/structure-et-forme/arbre-Ile-de-Paques-2005.jpg,Statics,Photo,,
